
Evaluating top_k_accuracy...
top1_acc: 0.7791, top5_acc: 0.938
Epoch [1][465/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][470/1780], lr: 0.00000e+00, loss: 1.1444e-06
Epoch [1][475/1780], lr: 0.00000e+00, loss: 6.9582e-05
Epoch [1][480/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.09785
Epoch [1][490/1780], lr: 0.00000e+00, loss: 2.713e-05
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.08952
Epoch [1][500/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][505/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][510/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][515/1780], lr: 0.00000e+00, loss: 1.3828e-06
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][525/1780], lr: 0.00000e+00, loss: 3.457e-06
Epoch [1][530/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][535/1780], lr: 0.00000e+00, loss: 4.2915e-07
Epoch [1][540/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][545/1780], lr: 0.00000e+00, loss: 7.8678e-07
Epoch [1][550/1780], lr: 0.00000e+00, loss: 0.00012256
Epoch [1][555/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][560/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][565/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][570/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][575/1780], lr: 0.00000e+00, loss: 0.32727
Epoch [1][580/1780], lr: 0.00000e+00, loss: 1.4067e-06
Epoch [1][585/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][590/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][595/1780], lr: 0.00000e+00, loss: 1.0967e-06
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.0090243
Epoch [1][605/1780], lr: 0.00000e+00, loss: 9.8464e-06
Epoch [1][610/1780], lr: 0.00000e+00, loss: 5.3405e-06
Epoch [1][615/1780], lr: 0.00000e+00, loss: 0.15184
Epoch [1][620/1780], lr: 0.00000e+00, loss: 0.69764
Epoch [1][625/1780], lr: 0.00000e+00, loss: 0.0014022
Epoch [1][630/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][635/1780], lr: 0.00000e+00, loss: 4.2676e-06
Epoch [1][640/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][645/1780], lr: 0.00000e+00, loss: 0.00023864
Epoch [1][650/1780], lr: 0.00000e+00, loss: 2.3126e-06
Epoch [1][655/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][660/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][665/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][670/1780], lr: 0.00000e+00, loss: 9.5367e-07
Epoch [1][675/1780], lr: 0.00000e+00, loss: 3.8147e-07
Epoch [1][680/1780], lr: 0.00000e+00, loss: 0.00016247
Epoch [1][685/1780], lr: 0.00000e+00, loss: 0.12403
Epoch [1][690/1780], lr: 0.00000e+00, loss: 3.5763e-07
Epoch [1][695/1780], lr: 0.00000e+00, loss: 5.3232e-05
Epoch [1][700/1780], lr: 0.00000e+00, loss: 0.10555
Epoch [1][705/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][710/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][715/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][720/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][725/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][730/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][735/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][740/1780], lr: 0.00000e+00, loss: 3.4332e-06
Epoch [1][745/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][750/1780], lr: 0.00000e+00, loss: 1.7142e-05
Epoch [1][755/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][760/1780], lr: 0.00000e+00, loss: 0.00049822
Epoch [1][765/1780], lr: 0.00000e+00, loss: 6.6757e-07
Epoch [1][770/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][775/1780], lr: 0.00000e+00, loss: 7.3193e-06
Epoch [1][780/1780], lr: 0.00000e+00, loss: 3.0754e-05
Epoch [1][785/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][790/1780], lr: 0.00000e+00, loss: 0.00057082
Epoch [1][795/1780], lr: 0.00000e+00, loss: 6.2703e-06
Epoch [1][800/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][805/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][810/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][815/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][820/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][825/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][830/1780], lr: 0.00000e+00, loss: 6.9249e-05
Epoch [1][835/1780], lr: 0.00000e+00, loss: 9.2983e-07
Epoch [1][840/1780], lr: 0.00000e+00, loss: 7.7485e-06
Epoch [1][845/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][850/1780], lr: 0.00000e+00, loss: 7.9631e-06
Epoch [1][855/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][860/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][865/1780], lr: 0.00000e+00, loss: 1.0967e-06
Epoch [1][870/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][875/1780], lr: 0.00000e+00, loss: 2.8346e-05
Epoch [1][880/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][885/1780], lr: 0.00000e+00, loss: 0.0018283
Epoch [1][890/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][895/1780], lr: 0.00000e+00, loss: 2.408e-06
Epoch [1][900/1780], lr: 0.00000e+00, loss: 0.0004863
Epoch [1][905/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][910/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][915/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][920/1780], lr: 0.00000e+00, loss: 0.00050367
Epoch [1][925/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][930/1780], lr: 0.00000e+00, loss: 1.347e-05
Epoch [1][935/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][940/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][945/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][950/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][955/1780], lr: 0.00000e+00, loss: 0.00048046
Epoch [1][960/1780], lr: 0.00000e+00, loss: 0.011738
Epoch [1][965/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][970/1780], lr: 0.00000e+00, loss: 0.066248
