Epoch [1][490/1780], lr: 0.00000e+00, loss: 5.3605
Epoch [1][495/1780], lr: 0.00000e+00, loss: 5.3207
Epoch [1][500/1780], lr: 0.00000e+00, loss: 5.5051
Epoch [1][505/1780], lr: 0.00000e+00, loss: 5.1881
Epoch [1][510/1780], lr: 0.00000e+00, loss: 5.3255
Epoch [1][515/1780], lr: 0.00000e+00, loss: 5.0481
Epoch [1][520/1780], lr: 0.00000e+00, loss: 5.1457
Epoch [1][525/1780], lr: 0.00000e+00, loss: 4.7946
Epoch [1][530/1780], lr: 0.00000e+00, loss: 5.1877
Epoch [1][535/1780], lr: 0.00000e+00, loss: 5.4306
Epoch [1][540/1780], lr: 0.00000e+00, loss: 5.362
Epoch [1][545/1780], lr: 0.00000e+00, loss: 4.8551
Epoch [1][550/1780], lr: 0.00000e+00, loss: 5.0963
Epoch [1][555/1780], lr: 0.00000e+00, loss: 5.4805
Epoch [1][560/1780], lr: 0.00000e+00, loss: 5.1679
Epoch [1][565/1780], lr: 0.00000e+00, loss: 5.1145
Epoch [1][570/1780], lr: 0.00000e+00, loss: 5.2018
Epoch [1][575/1780], lr: 0.00000e+00, loss: 4.9999
Epoch [1][580/1780], lr: 0.00000e+00, loss: 4.7421
Epoch [1][585/1780], lr: 0.00000e+00, loss: 4.9663
Epoch [1][590/1780], lr: 0.00000e+00, loss: 5.1186
Epoch [1][595/1780], lr: 0.00000e+00, loss: 5.6625
Epoch [1][600/1780], lr: 0.00000e+00, loss: 5.1785
Epoch [1][605/1780], lr: 0.00000e+00, loss: 4.7741
Epoch [1][610/1780], lr: 0.00000e+00, loss: 5.1907
Epoch [1][615/1780], lr: 0.00000e+00, loss: 5.5197
Epoch [1][620/1780], lr: 0.00000e+00, loss: 5.6288
Epoch [1][625/1780], lr: 0.00000e+00, loss: 4.8468
Epoch [1][630/1780], lr: 0.00000e+00, loss: 4.8892
Epoch [1][635/1780], lr: 0.00000e+00, loss: 5.5112
Epoch [1][640/1780], lr: 0.00000e+00, loss: 5.2164
Epoch [1][645/1780], lr: 0.00000e+00, loss: 5.3608
Epoch [1][650/1780], lr: 0.00000e+00, loss: 5.2132
Epoch [1][655/1780], lr: 0.00000e+00, loss: 5.0703
Epoch [1][660/1780], lr: 0.00000e+00, loss: 5.0509
Epoch [1][665/1780], lr: 0.00000e+00, loss: 4.9969
Epoch [1][670/1780], lr: 0.00000e+00, loss: 5.1662
Epoch [1][675/1780], lr: 0.00000e+00, loss: 5.4849
Epoch [1][680/1780], lr: 0.00000e+00, loss: 5.0869
Epoch [1][685/1780], lr: 0.00000e+00, loss: 5.4815
Epoch [1][690/1780], lr: 0.00000e+00, loss: 5.1214
Epoch [1][695/1780], lr: 0.00000e+00, loss: 5.2123
Epoch [1][700/1780], lr: 0.00000e+00, loss: 5.175
Epoch [1][705/1780], lr: 0.00000e+00, loss: 5.1025
Epoch [1][710/1780], lr: 0.00000e+00, loss: 4.7626
Epoch [1][715/1780], lr: 0.00000e+00, loss: 5.4297
Epoch [1][720/1780], lr: 0.00000e+00, loss: 5.0138
Epoch [1][725/1780], lr: 0.00000e+00, loss: 5.2312
Epoch [1][730/1780], lr: 0.00000e+00, loss: 5.3301
Epoch [1][735/1780], lr: 0.00000e+00, loss: 5.0634
Epoch [1][740/1780], lr: 0.00000e+00, loss: 4.969
Epoch [1][745/1780], lr: 0.00000e+00, loss: 4.7542
Epoch [1][750/1780], lr: 0.00000e+00, loss: 5.2722
Epoch [1][755/1780], lr: 0.00000e+00, loss: 5.1636
Epoch [1][760/1780], lr: 0.00000e+00, loss: 5.1565
Epoch [1][765/1780], lr: 0.00000e+00, loss: 5.9049
Epoch [1][770/1780], lr: 0.00000e+00, loss: 4.8961
Epoch [1][775/1780], lr: 0.00000e+00, loss: 5.0452
Epoch [1][780/1780], lr: 0.00000e+00, loss: 5.2766
Epoch [1][785/1780], lr: 0.00000e+00, loss: 5.3898
Epoch [1][790/1780], lr: 0.00000e+00, loss: 5.0335
Epoch [1][795/1780], lr: 0.00000e+00, loss: 5.2579
Epoch [1][800/1780], lr: 0.00000e+00, loss: 4.9749
Epoch [1][805/1780], lr: 0.00000e+00, loss: 5.2085
Epoch [1][810/1780], lr: 0.00000e+00, loss: 4.6471
Epoch [1][815/1780], lr: 0.00000e+00, loss: 5.3571
Epoch [1][820/1780], lr: 0.00000e+00, loss: 5.111
Epoch [1][825/1780], lr: 0.00000e+00, loss: 5.2109
Epoch [1][830/1780], lr: 0.00000e+00, loss: 5.8493
Epoch [1][835/1780], lr: 0.00000e+00, loss: 5.2001
Epoch [1][840/1780], lr: 0.00000e+00, loss: 5.5953
Epoch [1][845/1780], lr: 0.00000e+00, loss: 4.7984
Epoch [1][850/1780], lr: 0.00000e+00, loss: 5.2261
Epoch [1][855/1780], lr: 0.00000e+00, loss: 5.1349
Epoch [1][860/1780], lr: 0.00000e+00, loss: 5.111
Epoch [1][865/1780], lr: 0.00000e+00, loss: 5.4214
Epoch [1][870/1780], lr: 0.00000e+00, loss: 5.643
Epoch [1][875/1780], lr: 0.00000e+00, loss: 5.0375
