
Evaluating top_k_accuracy...
top1_acc: 0.8178, top5_acc: 0.9341
Epoch [1][460/1780], lr: 0.00000e+00, loss: 0.037555
Epoch [1][465/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][470/1780], lr: 0.00000e+00, loss: 1.0729e-06
Epoch [1][475/1780], lr: 0.00000e+00, loss: 0.018602
Epoch [1][480/1780], lr: 0.00000e+00, loss: 7.1047e-06
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 7.9688e-05
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.51509
Epoch [1][500/1780], lr: 0.00000e+00, loss: 0.048286
Epoch [1][505/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][510/1780], lr: 0.00000e+00, loss: 0.3848
Epoch [1][515/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.0019181
Epoch [1][525/1780], lr: 0.00000e+00, loss: 0.069074
Epoch [1][530/1780], lr: 0.00000e+00, loss: 6.1989e-07
Epoch [1][535/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][540/1780], lr: 0.00000e+00, loss: 0.00032543
Epoch [1][545/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][550/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][555/1780], lr: 0.00000e+00, loss: 0.5259
Epoch [1][560/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][565/1780], lr: 0.00000e+00, loss: 0.00026638
Epoch [1][570/1780], lr: 0.00000e+00, loss: 6.4611e-06
Epoch [1][575/1780], lr: 0.00000e+00, loss: 3.7547e-05
Epoch [1][580/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][585/1780], lr: 0.00000e+00, loss: 0.00031609
Epoch [1][590/1780], lr: 0.00000e+00, loss: 4.3392e-06
Epoch [1][595/1780], lr: 0.00000e+00, loss: 0.0001308
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.5221
Epoch [1][605/1780], lr: 0.00000e+00, loss: 1.4305e-07
Epoch [1][610/1780], lr: 0.00000e+00, loss: 3.2876e-05
Epoch [1][615/1780], lr: 0.00000e+00, loss: 0.071896
Epoch [1][620/1780], lr: 0.00000e+00, loss: 0.00019299
Epoch [1][625/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][630/1780], lr: 0.00000e+00, loss: 2.4818e-05
Epoch [1][635/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][640/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][645/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][650/1780], lr: 0.00000e+00, loss: 8.1062e-07
Epoch [1][655/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][660/1780], lr: 0.00000e+00, loss: 5.1087e-05
Epoch [1][665/1780], lr: 0.00000e+00, loss: 0.00010933
Epoch [1][670/1780], lr: 0.00000e+00, loss: 1.0681e-05
Epoch [1][675/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][680/1780], lr: 0.00000e+00, loss: 0.00021375
Epoch [1][685/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][690/1780], lr: 0.00000e+00, loss: 0.001934
Epoch [1][695/1780], lr: 0.00000e+00, loss: 3.2186e-06
Epoch [1][700/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][705/1780], lr: 0.00000e+00, loss: 0.0069446
Epoch [1][710/1780], lr: 0.00000e+00, loss: 3.3471e-05
Epoch [1][715/1780], lr: 0.00000e+00, loss: 0.072025
Epoch [1][720/1780], lr: 0.00000e+00, loss: 0.022959
Epoch [1][725/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][730/1780], lr: 0.00000e+00, loss: 9.179e-06
Epoch [1][735/1780], lr: 0.00000e+00, loss: 4.7893e-05
Epoch [1][740/1780], lr: 0.00000e+00, loss: 0.17629
Epoch [1][745/1780], lr: 0.00000e+00, loss: 0.00041328
Epoch [1][750/1780], lr: 0.00000e+00, loss: 0.00077514
Epoch [1][755/1780], lr: 0.00000e+00, loss: 3.8477e-05
Epoch [1][760/1780], lr: 0.00000e+00, loss: 1.2398e-06
Epoch [1][765/1780], lr: 0.00000e+00, loss: 5.9605e-07
Epoch [1][770/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][775/1780], lr: 0.00000e+00, loss: 0.00020306
Epoch [1][780/1780], lr: 0.00000e+00, loss: 5.8173e-06
Epoch [1][785/1780], lr: 0.00000e+00, loss: 1.1921e-06
Epoch [1][790/1780], lr: 0.00000e+00, loss: 0.00019193
