Epoch [1][490/1780], lr: 0.00000e+00, loss: 8.4292
Epoch [1][495/1780], lr: 0.00000e+00, loss: 7.8313
Epoch [1][500/1780], lr: 0.00000e+00, loss: 8.3347
Epoch [1][505/1780], lr: 0.00000e+00, loss: 8.9835
Epoch [1][510/1780], lr: 0.00000e+00, loss: 8.5766
Epoch [1][515/1780], lr: 0.00000e+00, loss: 8.1718
Epoch [1][520/1780], lr: 0.00000e+00, loss: 8.7722
Epoch [1][525/1780], lr: 0.00000e+00, loss: 8.2317
Epoch [1][530/1780], lr: 0.00000e+00, loss: 8.3751
Epoch [1][535/1780], lr: 0.00000e+00, loss: 8.2415
Epoch [1][540/1780], lr: 0.00000e+00, loss: 8.9985
Epoch [1][545/1780], lr: 0.00000e+00, loss: 7.9526
Epoch [1][550/1780], lr: 0.00000e+00, loss: 8.4305
Epoch [1][555/1780], lr: 0.00000e+00, loss: 8.7953
Epoch [1][560/1780], lr: 0.00000e+00, loss: 8.2699
Epoch [1][565/1780], lr: 0.00000e+00, loss: 7.9496
Epoch [1][570/1780], lr: 0.00000e+00, loss: 8.2845
Epoch [1][575/1780], lr: 0.00000e+00, loss: 8.2164
Epoch [1][580/1780], lr: 0.00000e+00, loss: 8.4676
Epoch [1][585/1780], lr: 0.00000e+00, loss: 8.8025
Epoch [1][590/1780], lr: 0.00000e+00, loss: 8.119
Epoch [1][595/1780], lr: 0.00000e+00, loss: 8.2764
Epoch [1][600/1780], lr: 0.00000e+00, loss: 8.1545
Epoch [1][605/1780], lr: 0.00000e+00, loss: 8.1862
Epoch [1][610/1780], lr: 0.00000e+00, loss: 8.4467
Epoch [1][615/1780], lr: 0.00000e+00, loss: 8.339
Epoch [1][620/1780], lr: 0.00000e+00, loss: 8.3582
Epoch [1][625/1780], lr: 0.00000e+00, loss: 8.4443
Epoch [1][630/1780], lr: 0.00000e+00, loss: 8.1321
Epoch [1][635/1780], lr: 0.00000e+00, loss: 8.4182
Epoch [1][640/1780], lr: 0.00000e+00, loss: 7.7798
Epoch [1][645/1780], lr: 0.00000e+00, loss: 8.6121
Epoch [1][650/1780], lr: 0.00000e+00, loss: 8.0297
Epoch [1][655/1780], lr: 0.00000e+00, loss: 8.3547
Epoch [1][660/1780], lr: 0.00000e+00, loss: 8.4203
Epoch [1][665/1780], lr: 0.00000e+00, loss: 8.6765
Epoch [1][670/1780], lr: 0.00000e+00, loss: 8.1133
Epoch [1][675/1780], lr: 0.00000e+00, loss: 7.6959
Epoch [1][680/1780], lr: 0.00000e+00, loss: 8.089
Epoch [1][685/1780], lr: 0.00000e+00, loss: 8.716
Epoch [1][690/1780], lr: 0.00000e+00, loss: 9.1076
