
Evaluating top_k_accuracy...
top1_acc: 0.8101, top5_acc: 0.9302
Epoch [1][465/1780], lr: 0.00000e+00, loss: 0.0035288
Epoch [1][470/1780], lr: 0.00000e+00, loss: 7.391e-07
Epoch [1][475/1780], lr: 0.00000e+00, loss: 0.0018016
Epoch [1][480/1780], lr: 0.00000e+00, loss: 5.1039e-05
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 2.0742e-06
Epoch [1][495/1780], lr: 0.00000e+00, loss: 3.4925e-05
Epoch [1][500/1780], lr: 0.00000e+00, loss: 1.5044e-05
Epoch [1][505/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][510/1780], lr: 0.00000e+00, loss: 0.0027311
Epoch [1][515/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][520/1780], lr: 0.00000e+00, loss: 5.4545e-05
Epoch [1][525/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][530/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][535/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][540/1780], lr: 0.00000e+00, loss: 5.9906e-05
Epoch [1][545/1780], lr: 0.00000e+00, loss: 1.297e-05
Epoch [1][550/1780], lr: 0.00000e+00, loss: 3.0994e-07
Epoch [1][555/1780], lr: 0.00000e+00, loss: 1.3208e-05
Epoch [1][560/1780], lr: 0.00000e+00, loss: 0.24537
Epoch [1][565/1780], lr: 0.00000e+00, loss: 4.4584e-06
Epoch [1][570/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][575/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][580/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][585/1780], lr: 0.00000e+00, loss: 0.0019465
Epoch [1][590/1780], lr: 0.00000e+00, loss: 7.6294e-07
Epoch [1][595/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.21769
Epoch [1][605/1780], lr: 0.00000e+00, loss: 5.722e-07
Epoch [1][610/1780], lr: 0.00000e+00, loss: 0.0062333
Epoch [1][615/1780], lr: 0.00000e+00, loss: 0.00019778
Epoch [1][620/1780], lr: 0.00000e+00, loss: 0.0006666
Epoch [1][625/1780], lr: 0.00000e+00, loss: 0.00033808
Epoch [1][630/1780], lr: 0.00000e+00, loss: 1.7976e-05
Epoch [1][635/1780], lr: 0.00000e+00, loss: 7.6294e-07
Epoch [1][640/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][645/1780], lr: 0.00000e+00, loss: 2.9443e-05
Epoch [1][650/1780], lr: 0.00000e+00, loss: 4.1723e-06
Epoch [1][655/1780], lr: 0.00000e+00, loss: 2.7418e-06
Epoch [1][660/1780], lr: 0.00000e+00, loss: 0.11836
Epoch [1][665/1780], lr: 0.00000e+00, loss: 5.8173e-06
Epoch [1][670/1780], lr: 0.00000e+00, loss: 0.4337
Epoch [1][675/1780], lr: 0.00000e+00, loss: 0.0097476
Epoch [1][680/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][685/1780], lr: 0.00000e+00, loss: 8.8338e-05
Epoch [1][690/1780], lr: 0.00000e+00, loss: 0.0039099
Epoch [1][695/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][700/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][705/1780], lr: 0.00000e+00, loss: 0.47546
Epoch [1][710/1780], lr: 0.00000e+00, loss: 2.718e-06
Epoch [1][715/1780], lr: 0.00000e+00, loss: 1.7189e-05
Epoch [1][720/1780], lr: 0.00000e+00, loss: 0.015724
Epoch [1][725/1780], lr: 0.00000e+00, loss: 0.0077142
Epoch [1][730/1780], lr: 0.00000e+00, loss: 0.0022132
Epoch [1][735/1780], lr: 0.00000e+00, loss: 2.992e-05
Epoch [1][740/1780], lr: 0.00000e+00, loss: 2.2768e-05
Epoch [1][745/1780], lr: 0.00000e+00, loss: 1.5193
Epoch [1][750/1780], lr: 0.00000e+00, loss: 9.9777e-05
Epoch [1][755/1780], lr: 0.00000e+00, loss: 0.00016797
Epoch [1][760/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][765/1780], lr: 0.00000e+00, loss: 9.8464e-06
Epoch [1][770/1780], lr: 0.00000e+00, loss: 0.016074
Epoch [1][775/1780], lr: 0.00000e+00, loss: 0.44242
Epoch [1][780/1780], lr: 0.00000e+00, loss: 5.8142e-05
Epoch [1][785/1780], lr: 0.00000e+00, loss: 8.7736e-06
Epoch [1][790/1780], lr: 0.00000e+00, loss: 0.084949
Epoch [1][795/1780], lr: 0.00000e+00, loss: 1.4519e-05
Epoch [1][800/1780], lr: 0.00000e+00, loss: 3.8048e-05
Epoch [1][805/1780], lr: 0.00000e+00, loss: 0.45063
Epoch [1][810/1780], lr: 0.00000e+00, loss: 8.2014e-06
Epoch [1][815/1780], lr: 0.00000e+00, loss: 0.079653
Epoch [1][820/1780], lr: 0.00000e+00, loss: 0.00010745
Epoch [1][825/1780], lr: 0.00000e+00, loss: 2.861e-06
