
Evaluating top_k_accuracy...
top1_acc: 0.7597, top5_acc: 0.9264
Epoch [1][180/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][185/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][190/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][195/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][200/1780], lr: 0.00000e+00, loss: 4.4822e-06
Epoch [1][205/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][210/1780], lr: 0.00000e+00, loss: 1.6451e-06
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.0044828
Epoch [1][220/1780], lr: 0.00000e+00, loss: 9.4888e-06
Epoch [1][225/1780], lr: 0.00000e+00, loss: 5.2452e-07
Epoch [1][230/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][235/1780], lr: 0.00000e+00, loss: 0.013703
Epoch [1][240/1780], lr: 0.00000e+00, loss: 0.1353
Epoch [1][245/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][250/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][255/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][260/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][265/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][270/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][275/1780], lr: 0.00000e+00, loss: 3.2899e-05
Epoch [1][280/1780], lr: 0.00000e+00, loss: 2.3842e-06
Epoch [1][285/1780], lr: 0.00000e+00, loss: 6.4582e-05
Epoch [1][290/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][295/1780], lr: 0.00000e+00, loss: 9.5988e-05
Epoch [1][300/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][305/1780], lr: 0.00000e+00, loss: 4.53e-07
Epoch [1][310/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][315/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][320/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][325/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][330/1780], lr: 0.00000e+00, loss: 0.0075224
Epoch [1][335/1780], lr: 0.00000e+00, loss: 1.1206e-06
Epoch [1][340/1780], lr: 0.00000e+00, loss: 3.5763e-07
Epoch [1][345/1780], lr: 0.00000e+00, loss: 0.00074878
Epoch [1][350/1780], lr: 0.00000e+00, loss: 2.9087e-06
Epoch [1][355/1780], lr: 0.00000e+00, loss: 2.0981e-06
Epoch [1][360/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][365/1780], lr: 0.00000e+00, loss: 7.1525e-07
Epoch [1][370/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][375/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][380/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][385/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][390/1780], lr: 0.00000e+00, loss: 7.044e-05
Epoch [1][395/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][400/1780], lr: 0.00000e+00, loss: 8.0736e-05
Epoch [1][405/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][410/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][415/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][420/1780], lr: 0.00000e+00, loss: 6.7223e-05
Epoch [1][425/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][430/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][435/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][440/1780], lr: 0.00000e+00, loss: 2.2888e-06
Epoch [1][445/1780], lr: 0.00000e+00, loss: 4.7684e-07
Epoch [1][450/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][455/1780], lr: 0.00000e+00, loss: 4.7684e-07
Epoch [1][460/1780], lr: 0.00000e+00, loss: 2.1458e-06
Epoch [1][465/1780], lr: 0.00000e+00, loss: 2.408e-06
Epoch [1][470/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][475/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][480/1780], lr: 0.00000e+00, loss: 0.0026553
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 2.6226e-07
Epoch [1][495/1780], lr: 0.00000e+00, loss: 1.5736e-06
Epoch [1][500/1780], lr: 0.00000e+00, loss: 3.2901e-06
Epoch [1][505/1780], lr: 0.00000e+00, loss: 5.8412e-06
Epoch [1][510/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][515/1780], lr: 0.00000e+00, loss: 0.00045819
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][525/1780], lr: 0.00000e+00, loss: 3.4663e-05
Epoch [1][530/1780], lr: 0.00000e+00, loss: 1.2159e-06
Epoch [1][535/1780], lr: 0.00000e+00, loss: 0.2732
Epoch [1][540/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][545/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][550/1780], lr: 0.00000e+00, loss: 0.00022413
Epoch [1][555/1780], lr: 0.00000e+00, loss: 0.0005302
Epoch [1][560/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][565/1780], lr: 0.00000e+00, loss: 6.024e-05
Epoch [1][570/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][575/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][580/1780], lr: 0.00000e+00, loss: 0.018818
Epoch [1][585/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][590/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][595/1780], lr: 0.00000e+00, loss: 0.00019386
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.25139
Epoch [1][605/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][610/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][615/1780], lr: 0.00000e+00, loss: 0.042037
Epoch [1][620/1780], lr: 0.00000e+00, loss: 4.5819e-05
Epoch [1][625/1780], lr: 0.00000e+00, loss: 6.3895e-06
Epoch [1][630/1780], lr: 0.00000e+00, loss: 5.1301e-05
Epoch [1][635/1780], lr: 0.00000e+00, loss: 4.0531e-07
Epoch [1][640/1780], lr: 0.00000e+00, loss: 0.16792
Epoch [1][645/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][650/1780], lr: 0.00000e+00, loss: 1.9073e-07
Epoch [1][655/1780], lr: 0.00000e+00, loss: 1.4019e-05
Epoch [1][660/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][665/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][670/1780], lr: 0.00000e+00, loss: 8.9792e-05
Epoch [1][675/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][680/1780], lr: 0.00000e+00, loss: 2.861e-06
