
Evaluating top_k_accuracy...
top1_acc: 0.8217, top5_acc: 0.9341
Epoch [1][460/1780], lr: 0.00000e+00, loss: 1.1682e-06
Epoch [1][465/1780], lr: 0.00000e+00, loss: 7.8677e-06
Epoch [1][470/1780], lr: 0.00000e+00, loss: 0.00010983
Epoch [1][475/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][480/1780], lr: 0.00000e+00, loss: 0.00034835
Epoch [1][485/1780], lr: 0.00000e+00, loss: 7.3908e-06
Epoch [1][490/1780], lr: 0.00000e+00, loss: 1.8548e-05
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.0037346
Epoch [1][500/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][505/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][510/1780], lr: 0.00000e+00, loss: 8.0261e-05
Epoch [1][515/1780], lr: 0.00000e+00, loss: 0.00028128
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][525/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][530/1780], lr: 0.00000e+00, loss: 4.6582e-05
Epoch [1][535/1780], lr: 0.00000e+00, loss: 6.6794e-05
Epoch [1][540/1780], lr: 0.00000e+00, loss: 0.0032231
Epoch [1][545/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][550/1780], lr: 0.00000e+00, loss: 0.00049646
Epoch [1][555/1780], lr: 0.00000e+00, loss: 0.00016535
Epoch [1][560/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][565/1780], lr: 0.00000e+00, loss: 1.3685e-05
Epoch [1][570/1780], lr: 0.00000e+00, loss: 6.6938e-05
Epoch [1][575/1780], lr: 0.00000e+00, loss: 3.3855e-06
Epoch [1][580/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][585/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][590/1780], lr: 0.00000e+00, loss: 0.76639
Epoch [1][595/1780], lr: 0.00000e+00, loss: 1.688e-05
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.33971
Epoch [1][605/1780], lr: 0.00000e+00, loss: 6.8867e-05
Epoch [1][610/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][615/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][620/1780], lr: 0.00000e+00, loss: 0.023911
Epoch [1][625/1780], lr: 0.00000e+00, loss: 2.0265e-06
Epoch [1][630/1780], lr: 0.00000e+00, loss: 0.0027491
Epoch [1][635/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][640/1780], lr: 0.00000e+00, loss: 1.502e-06
Epoch [1][645/1780], lr: 0.00000e+00, loss: 6.4373e-07
Epoch [1][650/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][655/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][660/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][665/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][670/1780], lr: 0.00000e+00, loss: 2.2243e-05
Epoch [1][675/1780], lr: 0.00000e+00, loss: 0.0
