Epoch [1][290/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][295/1780], lr: 0.00000e+00, loss: 0.0033711
Epoch [1][300/1780], lr: 0.00000e+00, loss: 0.00088759
Epoch [1][305/1780], lr: 0.00000e+00, loss: 0.0022845
Epoch [1][310/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][315/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][320/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][325/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][330/1780], lr: 0.00000e+00, loss: 0.00050717
Epoch [1][335/1780], lr: 0.00000e+00, loss: 2.9228e-05
Epoch [1][340/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][345/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][350/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][355/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][360/1780], lr: 0.00000e+00, loss: 2.1458e-07
Epoch [1][365/1780], lr: 0.00000e+00, loss: 0.0042945
Epoch [1][370/1780], lr: 0.00000e+00, loss: 1.6069e-05
Epoch [1][375/1780], lr: 0.00000e+00, loss: 1.2409
Epoch [1][380/1780], lr: 0.00000e+00, loss: 2.265e-06
Epoch [1][385/1780], lr: 0.00000e+00, loss: 0.033127
Epoch [1][390/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][395/1780], lr: 0.00000e+00, loss: 1.4543e-06
Epoch [1][400/1780], lr: 0.00000e+00, loss: 0.015503
Epoch [1][405/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][410/1780], lr: 0.00000e+00, loss: 1.0252e-06
Epoch [1][415/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][420/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][425/1780], lr: 0.00000e+00, loss: 2.1457e-05
Epoch [1][430/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][435/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][440/1780], lr: 0.00000e+00, loss: 1.0729e-06
Epoch [1][445/1780], lr: 0.00000e+00, loss: 4.4584e-06
Epoch [1][450/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][455/1780], lr: 0.00000e+00, loss: 2.6226e-06
Epoch [1][460/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][465/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][470/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][475/1780], lr: 0.00000e+00, loss: 0.0017482
Epoch [1][480/1780], lr: 0.00000e+00, loss: 6.0029e-05
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 8.1062e-07
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][500/1780], lr: 0.00000e+00, loss: 0.00041282
Epoch [1][505/1780], lr: 0.00000e+00, loss: 0.0065209
Epoch [1][510/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][515/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.0
