
Evaluating top_k_accuracy...
top1_acc: 0.8023, top5_acc: 0.938
Epoch [1][185/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][190/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][195/1780], lr: 0.00000e+00, loss: 0.012381
Epoch [1][200/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][205/1780], lr: 0.00000e+00, loss: 3.1471e-06
Epoch [1][210/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][215/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][220/1780], lr: 0.00000e+00, loss: 7.081e-06
Epoch [1][225/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][230/1780], lr: 0.00000e+00, loss: 1.3995e-05
Epoch [1][235/1780], lr: 0.00000e+00, loss: 0.47737
Epoch [1][240/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][245/1780], lr: 0.00000e+00, loss: 9.5821e-05
Epoch [1][250/1780], lr: 0.00000e+00, loss: 1.0395e-05
Epoch [1][255/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][260/1780], lr: 0.00000e+00, loss: 0.0013227
Epoch [1][265/1780], lr: 0.00000e+00, loss: 1.5449e-05
Epoch [1][270/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][275/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][280/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][285/1780], lr: 0.00000e+00, loss: 7.8678e-07
Epoch [1][290/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][295/1780], lr: 0.00000e+00, loss: 0.056478
Epoch [1][300/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][305/1780], lr: 0.00000e+00, loss: 3.1948e-06
Epoch [1][310/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][315/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][320/1780], lr: 0.00000e+00, loss: 0.29547
Epoch [1][325/1780], lr: 0.00000e+00, loss: 0.00014176
Epoch [1][330/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][335/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][340/1780], lr: 0.00000e+00, loss: 6.1989e-07
Epoch [1][345/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][350/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][355/1780], lr: 0.00000e+00, loss: 0.14084
Epoch [1][360/1780], lr: 0.00000e+00, loss: 5.0068e-07
Epoch [1][365/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][370/1780], lr: 0.00000e+00, loss: 4.4584e-06
Epoch [1][375/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][380/1780], lr: 0.00000e+00, loss: 3.0517e-06
Epoch [1][385/1780], lr: 0.00000e+00, loss: 0.21351
Epoch [1][390/1780], lr: 0.00000e+00, loss: 9.0483e-05
Epoch [1][395/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][400/1780], lr: 0.00000e+00, loss: 2.8442e-05
Epoch [1][405/1780], lr: 0.00000e+00, loss: 8.1062e-07
Epoch [1][410/1780], lr: 0.00000e+00, loss: 1.7643e-06
Epoch [1][415/1780], lr: 0.00000e+00, loss: 0.18083
Epoch [1][420/1780], lr: 0.00000e+00, loss: 0.00015887
Epoch [1][425/1780], lr: 0.00000e+00, loss: 7.6294e-07
Epoch [1][430/1780], lr: 0.00000e+00, loss: 5.269e-06
Epoch [1][435/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][440/1780], lr: 0.00000e+00, loss: 2.682e-05
Epoch [1][445/1780], lr: 0.00000e+00, loss: 0.00072372
Epoch [1][450/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][455/1780], lr: 0.00000e+00, loss: 6.9855e-06
Epoch [1][460/1780], lr: 0.00000e+00, loss: 7.1526e-08
Epoch [1][465/1780], lr: 0.00000e+00, loss: 0.0016789
Epoch [1][470/1780], lr: 0.00000e+00, loss: 1.4996e-05
Epoch [1][475/1780], lr: 0.00000e+00, loss: 8.896e-05
Epoch [1][480/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][485/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][490/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][495/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][500/1780], lr: 0.00000e+00, loss: 0.00012613
Epoch [1][505/1780], lr: 0.00000e+00, loss: 8.1062e-07
Epoch [1][510/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][515/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][520/1780], lr: 0.00000e+00, loss: 0.00047863
Epoch [1][525/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][530/1780], lr: 0.00000e+00, loss: 0.0052211
Epoch [1][535/1780], lr: 0.00000e+00, loss: 2.1338e-05
Epoch [1][540/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][545/1780], lr: 0.00000e+00, loss: 0.00033884
Epoch [1][550/1780], lr: 0.00000e+00, loss: 0.0016976
